DROP TABLE IF EXISTS notpdball;
CALL paradedb.create_bm25_test_table(
        schema_name => 'public',
        table_name => 'notpdball'
     );
CREATE INDEX idxnotpdball ON notpdball USING bm25 (id, description, category) WITH (key_field='id');
SELECT id
FROM notpdball
WHERE id @@@ paradedb.all()
ORDER BY id;
 id 
----
  1
  2
  3
  4
  5
  6
  7
  8
  9
 10
 11
 12
 13
 14
 15
 16
 17
 18
 19
 20
 21
 22
 23
 24
 25
 26
 27
 28
 29
 30
 31
 32
 33
 34
 35
 36
 37
 38
 39
 40
 41
(41 rows)

SELECT id
FROM notpdball
WHERE NOT id @@@ paradedb.all()
ORDER BY id;
 id 
----
(0 rows)

SELECT a.id, b.id
FROM notpdball a,
     notpdball b
WHERE a.id = b.id AND NOT a.id @@@ paradedb.all()
   OR b.id @@@ paradedb.all()
ORDER BY a.id, b.id;
WARNING:  OR decomposition (rejected): OR condition: no extractable predicates for target relation (checked 2 clauses)
WARNING:  OR decomposition (full): OR condition: extracted all 1 search predicates for target relation
WARNING:  quals: Some(OpExpr { lhs: 0x7fa4d8811928, opno: 63386, val: 0x7fa4d8818668 })
 id | id 
----+----
  1 |  1
  1 |  2
  1 |  3
  1 |  4
  1 |  5
  1 |  6
  1 |  7
  1 |  8
  1 |  9
  1 | 10
  1 | 11
  1 | 12
  1 | 13
  1 | 14
  1 | 15
  1 | 16
  1 | 17
  1 | 18
  1 | 19
  1 | 20
  1 | 21
  1 | 22
  1 | 23
  1 | 24
  1 | 25
  1 | 26
  1 | 27
  1 | 28
  1 | 29
  1 | 30
  1 | 31
  1 | 32
  1 | 33
  1 | 34
  1 | 35
  1 | 36
  1 | 37
  1 | 38
  1 | 39
  1 | 40
  1 | 41
  2 |  1
  2 |  2
  2 |  3
  2 |  4
  2 |  5
  2 |  6
  2 |  7
  2 |  8
  2 |  9
  2 | 10
  2 | 11
  2 | 12
  2 | 13
  2 | 14
  2 | 15
  2 | 16
  2 | 17
  2 | 18
  2 | 19
  2 | 20
  2 | 21
  2 | 22
  2 | 23
  2 | 24
  2 | 25
  2 | 26
  2 | 27
  2 | 28
  2 | 29
  2 | 30
  2 | 31
  2 | 32
  2 | 33
  2 | 34
  2 | 35
  2 | 36
  2 | 37
  2 | 38
  2 | 39
  2 | 40
  2 | 41
  3 |  1
  3 |  2
  3 |  3
  3 |  4
  3 |  5
  3 |  6
  3 |  7
  3 |  8
  3 |  9
  3 | 10
  3 | 11
  3 | 12
  3 | 13
  3 | 14
  3 | 15
  3 | 16
  3 | 17
  3 | 18
  3 | 19
  3 | 20
  3 | 21
  3 | 22
  3 | 23
  3 | 24
  3 | 25
  3 | 26
  3 | 27
  3 | 28
  3 | 29
  3 | 30
  3 | 31
  3 | 32
  3 | 33
  3 | 34
  3 | 35
  3 | 36
  3 | 37
  3 | 38
  3 | 39
  3 | 40
  3 | 41
  4 |  1
  4 |  2
  4 |  3
  4 |  4
  4 |  5
  4 |  6
  4 |  7
  4 |  8
  4 |  9
  4 | 10
  4 | 11
  4 | 12
  4 | 13
